00006169, DCU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
00006169, DCU_Heartbeat_dummydata, 0
0000644B, AdjustedVoltageCellMuxSelect, 44
0000644B, AdjustedVoltageCell133, 3.7083000000000004
0000644B, AdjustedVoltageCell134, 3.7082
0000644B, AdjustedVoltageCell135, 3.7083000000000004
000064E6, VoltageCellMuxSelect, 0
000064E6, VoltageCell01, 3.7066000000000003
000064E6, VoltageCell02, 3.7089000000000003
000064E6, VoltageCell03, 3.709
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
00006564, DCU_Heartbeat_dummydata, 0
0000693C, DCU_Heartbeat_dummydata, 0
0000695B, BMU_Heartbeat_dummydata, 0
0000693C, DCU_Heartbeat_dummydata, 0
0000695B, BMU_Heartbeat_dummydata, 0
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006A8B, AdjustedVoltageCellMuxSelect, 29
00006A8B, AdjustedVoltageCell88, 3.7828000000000004
00006A8B, AdjustedVoltageCell89, 3.7728
00006A8B, AdjustedVoltageCell90, 3.7746000000000004
00006D26, DCU_Heartbeat_dummydata, 0
00006D26, DCU_Heartbeat_dummydata, 0
00006E11, TempChannelMuxSelect, 0
00006E11, TempChannel01, 20.439999999999998
00006E11, TempChannel02, 20.370000000000005
00006E11, TempChannel03, 20.510000000000005
00006E11, TempChannelMuxSelect, 0
00006E11, TempChannel01, 20.439999999999998
00006E11, TempChannel02, 20.370000000000005
00006E11, TempChannel03, 20.510000000000005
00006E11, TempChannelMuxSelect, 0
00006E11, TempChannel01, 20.439999999999998
